date,open,high,low,close,volume
2023-01-03,10.00670752,10.17287056,9.9697824,10.00670752,22233148
2023-01-04,10.04363264,10.12671416,9.91439472,9.96055112,12032615
2023-01-05,10.03440136,10.0620952,9.923626,9.9697824,10094728
2023-01-06,9.9697824,10.04363264,9.91439472,9.9697824,11889367
2023-01-09,10.0159388,10.08055776,9.86823832,9.8774696,11952984
2023-01-10,9.923626,10.154408,9.8313132,9.89593216,19733266
2023-01-11,9.89593216,9.97901368,9.86823832,9.8774696,9680952
2023-01-12,9.8774696,10.23748952,9.86823832,10.09902032,21138840
2023-01-13,10.12671416,10.20979568,9.9697824,10.05286392,12292800
2023-01-16,9.7851568,10.05286392,9.66515016,9.96055112,33489219
2023-01-17,10.0159388,10.14517672,9.88670088,10.00670752,15882615
2023-01-18,10.0159388,10.04363264,9.88670088,9.9697824,10842724
2023-01-19,9.98824496,9.98824496,9.7390004,9.7851568,13045000
2023-01-20,9.7851568,9.98824496,9.71130656,9.96055112,12972400
2023-01-30,10.00670752,10.0159388,9.70207528,9.72053784,20038309
2023-01-31,9.72976912,9.80361936,9.66515016,9.72976912,12114199
2023-02-01,9.72976912,9.76669424,9.65591888,9.74823168,10984347
2023-02-02,9.76669424,9.7851568,9.6466876,9.68361272,19713315
2023-02-03,9.6466876,9.67438144,9.5543748,9.60976248,10653754
2023-02-06,9.59129992,9.72053784,9.56360608,9.63745632,11319568
2023-02-07,9.6466876,9.71130656,9.61899376,9.71130656,8461730
2023-02-08,9.72053784,9.8313132,9.692844,9.7851568,15308562
2023-02-09,9.72976912,9.8313132,9.72976912,9.81285064,8504976
2023-02-10,9.8313132,9.91439472,9.7851568,9.89593216,8978278
2023-02-13,9.91439472,9.96055112,9.7851568,9.82208192,12609253
2023-02-14,9.82208192,9.8774696,9.77592552,9.79438808,8122917
2023-02-15,9.81285064,9.84054448,9.68361272,9.70207528,10372197
2023-02-16,9.70207528,9.77592552,9.60976248,9.6466876,13289271
2023-02-17,9.61899376,9.692844,9.60976248,9.61899376,9771638
2023-02-20,9.71130656,9.80361936,9.61899376,9.79438808,10844176
2023-02-21,9.79438808,9.8313132,9.72053784,9.77592552,7544873
2023-02-22,9.7390004,9.79438808,9.66515016,9.67438144,8566482
2023-02-23,9.65591888,9.70207528,9.6466876,9.692844,7361057
2023-02-24,9.70207528,9.71130656,9.65591888,9.66515016,5968186
2023-02-27,9.66515016,9.76669424,9.63745632,9.75746296,12489500
2023-02-28,9.72976912,10.03440136,9.72976912,9.99747624,23711791
2023-03-01,10.04363264,10.04363264,9.88670088,9.97901368,17416922
2023-03-02,9.97901368,10.11748288,9.94208856,10.05286392,16080834
2023-03-03,10.0620952,10.18210184,10.03440136,10.13594544,10895700
2023-03-06,10.13594544,10.19133312,10.04363264,10.1082516,16524868
2023-03-07,10.13594544,10.22825824,10.07132648,10.08055776,13592485
2023-03-08,10.09902032,10.11748288,9.99747624,10.07132648,8219247
2023-03-09,10.1082516,10.12671416,10.0159388,10.0620952,7825736
2023-03-10,10.0159388,10.12671416,9.97901368,10.08978904,8304702
2023-03-13,9.98824496,10.25595208,9.98824496,10.19133312,17452963
2023-03-14,10.2005644,10.36672744,10.08055776,10.2467208,17046619
2023-03-15,10.25595208,10.31133976,10.17287056,10.2928772,11342782
2023-03-16,10.2928772,10.39442128,10.0620952,10.26518336,13314358
