date,open,high,low,close,volume
2022-01-04,3.49791375,3.59119145,3.47925821,3.57253591,60957459
2022-01-05,3.59119145,3.60051922,3.53522483,3.5445526,37044824
2022-01-06,3.53522483,3.6378303,3.52589706,3.60984699,53879150
2022-01-07,3.60984699,3.74976354,3.59119145,3.71245246,103919145
2022-01-10,3.75909131,3.77774685,3.68446915,3.72178023,61841263
2022-01-11,3.731108,3.88968009,3.71245246,3.79640239,90764864
2022-01-12,3.79640239,3.80573016,3.67514138,3.72178023,68395128
2022-01-13,3.731108,3.77774685,3.69379692,3.70312469,45352655
2022-01-14,3.69379692,3.70312469,3.57253591,3.60051922,50461196
2022-01-17,3.58186368,3.61917476,3.57253591,3.58186368,42901306
2022-01-18,3.58186368,3.67514138,3.57253591,3.6378303,52177111
2022-01-19,3.731108,3.78707462,3.67514138,3.74976354,102727022
2022-01-20,3.75909131,3.87102455,3.69379692,3.72178023,96483915
2022-01-21,3.71245246,3.72178023,3.6378303,3.66581361,61878863
2022-01-24,3.65648584,3.70312469,3.59119145,3.64715807,38492783
2022-01-25,3.61917476,3.6378303,3.51656929,3.52589706,54534369
2022-01-26,3.52589706,3.60051922,3.48858598,3.5445526,48001331
2022-01-27,3.48858598,3.49791375,3.36732497,3.37665274,82781417
2022-01-28,3.38598051,3.39530828,3.21808065,3.27404727,78285345
2022-02-07,3.31135835,3.52589706,3.29270281,3.49791375,118777604
2022-02-08,3.49791375,3.64715807,3.48858598,3.6378303,89379453
2022-02-09,3.65648584,3.68446915,3.57253591,3.6378303,63115501
2022-02-10,3.64715807,3.69379692,3.60051922,3.68446915,58605873
2022-02-11,3.69379692,3.76841908,3.66581361,3.67514138,69174418
2022-02-14,3.65648584,3.67514138,3.52589706,3.5445526,72858666
2022-02-15,3.59119145,3.59119145,3.47925821,3.51656929,44797849
2022-02-16,3.5445526,3.62850253,3.53522483,3.58186368,51722060
2022-02-17,3.61917476,3.62850253,3.55388037,3.59119145,50245175
2022-02-18,3.57253591,3.70312469,3.5445526,3.69379692,81442933
2022-02-21,3.72178023,3.74043577,3.65648584,3.69379692,51268379
2022-02-22,3.65648584,3.70312469,3.60051922,3.64715807,45140905
2022-02-23,3.6378303,3.65648584,3.58186368,3.61917476,44449315
2022-02-24,3.60051922,3.60984699,3.46060267,3.50724152,59716687
2022-02-25,3.52589706,3.62850253,3.52589706,3.5445526,52142641
2022-02-28,3.58186368,3.60051922,3.52589706,3.58186368,38858436
2022-03-01,3.60984699,3.67514138,3.57253591,3.60984699,49323536
2022-03-02,3.60051922,3.66581361,3.58186368,3.6378303,42461396
2022-03-03,3.64715807,3.74043577,3.64715807,3.71245246,76615600
2022-03-04,3.71245246,3.74976354,3.60051922,3.69379692,80486551
2022-03-07,3.72178023,3.74043577,3.62850253,3.65648584,67680585
2022-03-08,3.64715807,3.65648584,3.46993044,3.48858598,74936547
2022-03-09,3.50724152,3.52589706,3.25539173,3.40463605,84535633
2022-03-10,3.4512749,3.47925821,3.39530828,3.42329159,55231916
2022-03-11,3.39530828,3.43261936,3.30203058,3.43261936,54491496
2022-03-14,3.38598051,3.4512749,3.31135835,3.32068612,55670775
2022-03-15,3.32068612,3.32068612,3.03152525,3.03152525,115409329
2022-03-16,3.0781641,3.18076957,2.96623086,3.16211403,92065424
2022-03-17,3.19942511,3.27404727,3.16211403,3.25539173,67022529
2022-03-18,3.2647195,3.29270281,3.21808065,3.28337504,45097818
2022-03-21,3.29270281,3.30203058,3.19942511,3.23673619,49418532
2022-03-22,3.21808065,3.33934166,3.20875288,3.32068612,59640389
2022-03-23,3.30203058,3.33001389,3.2647195,3.30203058,32041807
2022-03-24,3.29270281,3.33001389,3.27404727,3.30203058,37411133
2022-03-25,3.32068612,3.34866943,3.29270281,3.30203058,35293696
2022-03-28,3.32068612,3.37665274,3.21808065,3.34866943,60111982
2022-03-29,3.34866943,3.36732497,3.31135835,3.32068612,47704469
2022-03-30,3.34866943,3.3579972,3.30203058,3.34866943,58917250
2022-03-31,3.31135835,3.37665274,3.29270281,3.31135835,84943869
2022-04-01,3.28337504,3.32068612,3.23673619,3.31135835,73969999
2022-04-06,3.32068612,3.51656929,3.31135835,3.50724152,151753480
2022-04-07,3.49791375,3.56320814,3.44194713,3.4512749,139106240
2022-04-08,3.46060267,3.53522483,3.39530828,3.51656929,103956112
2022-04-11,3.48858598,3.48858598,3.36732497,3.38598051,77231981
2022-04-12,3.36732497,3.44194713,3.33934166,3.43261936,69811137
2022-04-13,3.41396382,3.50724152,3.36732497,3.44194713,73020290
2022-04-14,3.44194713,3.53522483,3.43261936,3.50724152,70245276
2022-04-15,3.52589706,3.6378303,3.50724152,3.59119145,121225396
2022-04-18,3.5445526,3.60984699,3.49791375,3.50724152,77047634
2022-04-19,3.49791375,3.61917476,3.46993044,3.58186368,77325854
2022-04-20,3.55388037,3.57253591,3.42329159,3.43261936,87059859
2022-04-21,3.40463605,3.42329159,3.28337504,3.29270281,61985177
2022-04-22,3.2647195,3.33934166,3.19942511,3.31135835,44546970
2022-04-25,3.25539173,3.2647195,3.04085302,3.04085302,79569243
2022-04-26,3.0781641,3.10614741,2.96623086,2.97555863,70564361
2022-04-27,2.95690309,3.08749187,2.91026424,3.0781641,57612032
2022-04-28,3.11547518,3.1714418,3.08749187,3.14345849,54404009
2022-04-29,3.15278626,3.25539173,3.13413072,3.24606396,52762323
2022-05-05,3.22740842,3.32068612,3.20875288,3.31135835,56419980
2022-05-06,3.24606396,3.2647195,3.19009734,3.20875288,38263694
2022-05-09,3.19009734,3.23673619,3.15278626,3.19009734,30260731
2022-05-10,3.13413072,3.19942511,3.0781641,3.19009734,43762049
2022-05-11,3.18076957,3.24606396,3.18076957,3.18076957,45693779
2022-05-12,3.14345849,3.18076957,3.10614741,3.14345849,30900828
2022-05-13,3.14345849,3.18076957,3.14345849,3.1714418,23672615
2022-05-16,3.19942511,3.20875288,3.14345849,3.18076957,29024964
2022-05-17,3.18076957,3.18076957,3.12480295,3.1714418,24927980
2022-05-18,3.15278626,3.19942511,3.13413072,3.1714418,29297687
2022-05-19,3.11547518,3.15278626,3.10614741,3.15278626,26014123
2022-05-20,3.16211403,3.21808065,3.15278626,3.20875288,37423913
2022-05-23,3.21808065,3.29270281,3.21808065,3.27404727,54691851
2022-05-24,3.2647195,3.28337504,3.14345849,3.14345849,50666059
2022-05-25,3.13413072,3.19942511,3.13413072,3.19009734,27438630
2022-05-26,3.19009734,3.24606396,3.16211403,3.23673619,30251047
2022-05-27,3.23673619,3.25539173,3.19009734,3.22740842,37951466
2022-05-30,3.24606396,3.25539173,3.20875288,3.23673619,28254818
2022-05-31,3.24606396,3.24606396,3.20875288,3.23673619,25384271
2022-06-01,3.23673619,3.2647195,3.19009734,3.25539173,39429565
2022-06-02,3.22740842,3.37665274,3.22740842,3.36732497,111525421
2022-06-06,3.3579972,3.39530828,3.30203058,3.3579972,67791093
2022-06-07,3.3579972,3.3579972,3.28337504,3.31135835,48931197
2022-06-08,3.32068612,3.34866943,3.25539173,3.32068612,46476065
2022-06-09,3.33001389,3.3579972,3.27404727,3.29270281,41182281
2022-06-10,3.27404727,3.33001389,3.25539173,3.33001389,36688490
2022-06-13,3.29270281,3.31135835,3.22740842,3.23673619,56364844
2022-06-14,3.20875288,3.29270281,3.16211403,3.29270281,44671660
2022-06-15,3.2647195,3.36732497,3.2647195,3.31135835,69939614
2022-06-16,3.34866943,3.38598051,3.29270281,3.29270281,58018241
2022-06-17,3.27404727,3.29270281,3.22740842,3.27404727,44973029
2022-06-20,3.24606396,3.28337504,3.21808065,3.24606396,52654359
2022-06-21,3.24606396,3.30203058,3.22740842,3.2647195,55631851
2022-06-22,3.2647195,3.2647195,3.19942511,3.21808065,71498550
2022-06-23,3.2280444,3.2579337,3.1981551,3.2280444,56505257
2022-06-24,3.2380075,3.2479706,3.2180813,3.2380075,43640146
