date,open,high,low,close,volume
2021-01-04,2.78420224,2.82999504,2.76588512,2.81167792,36899230
2021-01-05,2.7933608,2.80251936,2.66514096,2.747568,48765773
2021-01-06,2.72925088,2.73840944,2.67429952,2.69261664,30088479
2021-01-07,2.7017752,2.8391536,2.69261664,2.82999504,66433955
2021-01-08,2.85747072,2.976532,2.82999504,2.96737344,80553854
2021-01-11,2.99484912,3.01316624,2.77504368,2.7933608,61834117
2021-01-12,2.80251936,2.8391536,2.76588512,2.80251936,32827456
2021-01-13,2.77504368,2.8849464,2.73840944,2.80251936,33318073
2021-01-14,2.7933608,2.8391536,2.76588512,2.7933608,41306070
2021-01-15,2.80251936,2.82083648,2.747568,2.78420224,32258829
2021-01-18,2.77504368,2.77504368,2.72925088,2.72925088,36247737
2021-01-19,2.72009232,2.72925088,2.68345808,2.7017752,32431539
2021-01-20,2.72009232,2.78420224,2.71093376,2.747568,36615890
2021-01-21,2.73840944,2.78420224,2.72009232,2.76588512,27202296
2021-01-22,2.75672656,2.77504368,2.7017752,2.72009232,27213385
2021-01-25,2.73840944,2.747568,2.68345808,2.72009232,25328333
2021-01-26,2.72925088,2.78420224,2.7017752,2.747568,28632978
2021-01-27,2.747568,2.78420224,2.72925088,2.747568,25092519
2021-01-28,2.73840944,2.73840944,2.67429952,2.69261664,22764436
2021-01-29,2.69261664,2.71093376,2.61934816,2.62850672,24254519
2021-02-01,2.63766528,2.64682384,2.60103104,2.6101896,19565027
2021-02-02,2.62850672,2.62850672,2.55523824,2.5643968,20747340
2021-02-03,2.5643968,2.5643968,2.50028688,2.54607968,22622719
2021-02-04,2.54607968,2.5643968,2.518604,2.54607968,19766450
2021-02-05,2.5643968,2.58271392,2.52776256,2.54607968,12758266
2021-02-08,2.5643968,2.58271392,2.49112832,2.55523824,23190767
2021-02-09,2.55523824,2.62850672,2.55523824,2.61934816,19725588
2021-02-10,2.62850672,2.63766528,2.59187248,2.6101896,14577847
2021-02-18,2.72009232,2.78420224,2.68345808,2.75672656,41063178
2021-02-19,2.747568,2.84831216,2.747568,2.82083648,39961572
2021-02-22,2.84831216,3.10475184,2.8391536,3.10475184,130154984
2021-02-23,3.1139104,3.15054464,3.04064192,3.08643472,112163917
2021-02-24,3.09559328,3.12306896,2.96737344,2.99484912,65081406
2021-02-25,3.04980048,3.08643472,2.99484912,3.03148336,48217910
2021-02-26,2.96737344,3.00400768,2.9307392,2.96737344,42982137
2021-03-01,2.976532,3.08643472,2.93989776,3.07727616,45080466
2021-03-02,3.08643472,3.12306896,2.98569056,3.01316624,40970073
2021-03-03,3.10475184,3.31539872,3.08643472,3.31539872,153399123
2021-03-04,3.31539872,3.64510688,3.28792304,3.64510688,247326536
2021-03-05,3.45277712,3.48941136,3.3428744,3.39782576,162248545
2021-03-08,3.44361856,3.5260456,3.33371584,3.3428744,95674827
2021-03-09,3.36119152,3.58099696,3.30624016,3.44361856,117862346
2021-03-10,3.36119152,3.45277712,3.30624016,3.32455728,69101131
2021-03-11,3.31539872,3.4802528,3.2970816,3.47109424,88840089
2021-03-12,3.4802528,3.51688704,3.35203296,3.46193568,79909971
2021-03-15,3.4802528,3.60847264,3.45277712,3.54436272,84821954
2021-03-16,3.55352128,3.5718384,3.41614288,3.5260456,52587747
2021-03-17,3.50772848,3.51688704,3.3886672,3.44361856,39553577
2021-03-18,3.43446,3.56267984,3.42530144,3.48941136,45787443
2021-03-19,3.45277712,3.55352128,3.42530144,3.47109424,36859505
