date,open,high,low,close,volume
2021-01-04,3.90518577,3.99026607,3.87115365,3.99026607,60349071
2021-01-05,3.98175804,4.04982228,3.92220183,3.99026607,78183965
2021-01-06,3.99026607,3.9987741,3.90518577,3.96474198,48111360
2021-01-07,3.93921789,4.01579016,3.89667774,3.94772592,42349310
2021-01-08,3.93070986,4.11788652,3.90518577,4.07534637,90279407
2021-01-11,4.12639455,4.12639455,3.94772592,3.97325001,68838828
2021-01-12,3.93921789,3.98175804,3.89667774,3.97325001,44644234
2021-01-13,3.93921789,4.10937849,3.89667774,4.04982228,79532908
2021-01-14,4.02429819,4.3390953,4.00728213,4.24550697,159246258
2021-01-15,4.24550697,4.24550697,4.0838544,4.11788652,99298722
2021-01-18,4.09236243,4.17744273,4.05833031,4.12639455,60299747
2021-01-19,4.13490258,4.15191864,3.99026607,4.01579016,66204154
2021-01-20,3.99026607,4.01579016,3.94772592,3.98175804,45387670
2021-01-21,3.96474198,3.9987741,3.92220183,3.98175804,39447620
2021-01-22,3.98175804,3.98175804,3.89667774,3.89667774,39044447
2021-01-25,3.9136938,3.9136938,3.8286135,3.84562956,37334662
2021-01-26,3.85413759,3.87966168,3.81159744,3.82010547,28181894
2021-01-27,3.82010547,3.87966168,3.81159744,3.84562956,21885002
2021-01-28,3.8286135,3.8286135,3.7435332,3.75204123,35214478
2021-01-29,3.76054926,3.78607335,3.72651714,3.75204123,25040043
2021-02-01,3.75204123,3.78607335,3.72651714,3.76905729,19898848
2021-02-02,3.77756532,3.87966168,3.77756532,3.84562956,30314440
2021-02-03,3.8286135,3.84562956,3.76054926,3.76905729,24217261
2021-02-04,3.77756532,3.77756532,3.61591275,3.68397699,38123378
2021-02-05,3.67546896,3.71800911,3.63292881,3.6584529,18115531
2021-02-08,3.6584529,3.70950108,3.64994487,3.70950108,15313689
2021-02-09,3.69248502,3.75204123,3.69248502,3.7435332,21144232
2021-02-10,3.7435332,3.76054926,3.71800911,3.75204123,21587634
2021-02-18,3.87115365,3.9136938,3.81159744,3.84562956,43641227
2021-02-19,3.84562956,4.06683834,3.83712153,4.04982228,78207886
2021-02-22,4.04982228,4.15191864,4.03280622,4.05833031,82675015
2021-02-23,4.02429819,4.09236243,4.00728213,4.03280622,54477019
2021-02-24,4.0838544,4.1689347,4.00728213,4.06683834,49589330
2021-02-25,4.0838544,4.1689347,4.06683834,4.12639455,55406714
2021-02-26,4.06683834,4.11788652,3.9987741,4.05833031,59019784
2021-03-01,4.10087046,4.16042667,4.04982228,4.10937849,43145397
2021-03-02,4.11788652,4.13490258,4.01579016,4.04982228,41736822
2021-03-03,4.03280622,4.07534637,4.00728213,4.05833031,31787730
2021-03-04,4.04982228,4.11788652,4.02429819,4.05833031,41519853
2021-03-05,4.03280622,4.07534637,4.01579016,4.04131425,38570249
2021-03-08,4.04982228,4.10937849,4.04982228,4.05833031,44652887
2021-03-09,4.07534637,4.21147485,4.04131425,4.13490258,95253328
2021-03-10,4.12639455,4.13490258,3.93070986,3.95623395,84754993
2021-03-11,3.96474198,4.10937849,3.9136938,4.0838544,59077952
2021-03-12,4.0838544,4.22849091,4.06683834,4.17744273,81916307
2021-03-15,4.19445879,4.30506318,4.15191864,4.21147485,82987411
2021-03-16,4.20296682,4.27953909,4.17744273,4.21998288,51226263
2021-03-17,4.21998288,4.254015,4.15191864,4.21147485,40388091
2021-03-18,4.21147485,4.21998288,4.14341061,4.16042667,36822233
2021-03-19,4.11788652,4.18595076,4.09236243,4.12639455,40828903
2021-03-22,4.11788652,4.19445879,4.10087046,4.19445879,37234906
2021-03-23,4.20296682,4.23699894,4.0838544,4.11788652,36221764
2021-03-24,4.07534637,4.10087046,3.98175804,3.99026607,40363438
2021-03-25,3.96474198,4.01579016,3.94772592,3.98175804,26326135
2021-03-26,3.9987741,4.05833031,3.99026607,4.02429819,31059512
2021-03-29,4.02429819,4.05833031,4.00728213,4.04131425,22995892
2021-03-30,4.04131425,4.07534637,3.9987741,4.03280622,30095201
2021-03-31,4.03280622,4.10087046,4.00728213,4.06683834,32311902
2021-04-01,4.03280622,4.06683834,4.01579016,4.04982228,21524273
2021-04-02,4.03280622,4.07534637,4.02429819,4.07534637,19912675
2021-04-06,4.07534637,4.0838544,4.02429819,4.04131425,19540779
2021-04-07,4.10937849,4.16042667,4.09236243,4.12639455,41664625
2021-04-08,4.12639455,4.12639455,4.04131425,4.04982228,29504484
2021-04-09,4.03280622,4.04982228,3.96474198,3.9987741,38663335
2021-04-12,3.97325001,4.04131425,3.96474198,3.98175804,27109361
2021-04-13,3.98175804,3.9987741,3.90518577,3.9136938,27524518
2021-04-14,3.92220183,3.93921789,3.89667774,3.93070986,18587188
2021-04-15,3.92220183,3.93070986,3.86264562,3.87966168,18448670
2021-04-16,3.87966168,3.94772592,3.87966168,3.93921789,22403481
2021-04-19,3.93921789,3.97325001,3.92220183,3.95623395,21561000
2021-04-20,3.95623395,3.96474198,3.93070986,3.95623395,21262142
2021-04-21,3.93070986,3.93921789,3.87966168,3.87966168,21256399
2021-04-22,3.90518577,3.9136938,3.86264562,3.86264562,21942170
2021-04-23,3.86264562,3.89667774,3.8286135,3.84562956,22152959
2021-04-26,3.84562956,3.87966168,3.82010547,3.8286135,20153692
2021-04-27,3.83712153,3.85413759,3.76905729,3.78607335,21792528
2021-04-28,3.79458138,3.82010547,3.77756532,3.82010547,14579839
2021-04-29,3.82010547,3.90518577,3.81159744,3.89667774,24992057
2021-04-30,3.9136938,3.94772592,3.88816971,3.93921789,34570294
2021-05-06,3.95623395,4.00728213,3.93921789,3.9987741,38656114
2021-05-07,4.00728213,4.06683834,3.9987741,4.01579016,41114088
2021-05-10,4.01579016,4.04982228,3.97325001,4.02429819,33243281
2021-05-11,4.00728213,4.06683834,3.98175804,4.06683834,33692731
2021-05-12,4.04982228,4.10087046,4.04982228,4.0838544,32319985
2021-05-13,4.0838544,4.10087046,4.04982228,4.06683834,29853880
2021-05-14,4.0838544,4.10937849,4.05833031,4.0838544,29461451
2021-05-17,4.07534637,4.10087046,4.04131425,4.05833031,24924034
2021-05-18,4.06683834,4.12639455,4.05833031,4.10087046,25006032
2021-05-19,4.09236243,4.09236243,4.04131425,4.04982228,18734800
2021-05-20,4.05833031,4.05833031,3.9987741,4.03280622,19327328
2021-05-21,4.04131425,4.07534637,4.02429819,4.06683834,17484849
2021-05-24,4.07534637,4.0838544,4.01579016,4.05833031,17861466
2021-05-25,4.05833031,4.11788652,4.01579016,4.11788652,29709169
2021-05-26,4.12639455,4.12639455,4.04982228,4.04982228,33085183
2021-05-27,4.04982228,4.11788652,4.04131425,4.11788652,27970346
2021-05-28,4.0838544,4.10937849,4.04982228,4.05833031,22140500
2021-05-31,4.04982228,4.06683834,3.98175804,3.99026607,34461700
2021-06-01,3.99026607,4.01579016,3.96474198,4.00728213,21945759
2021-06-02,4.00728213,4.04982228,3.99026607,4.02429819,28805789
2021-06-03,4.02429819,4.4241756,4.01579016,4.41566757,275956048
2021-06-04,4.24550697,4.30506318,4.04982228,4.04982228,248111883
2021-06-07,4.04131425,4.06683834,3.98175804,3.98175804,73241290
2021-06-08,4.02429819,4.12639455,3.98175804,4.02429819,90225430
2021-06-09,4.02429819,4.03280622,3.97325001,3.99026607,48050693
2021-06-10,3.99026607,4.06683834,3.98175804,4.02429819,46502870
2021-06-11,4.03280622,4.06683834,3.9987741,3.9987741,44633899
2021-06-15,3.9987741,4.00728213,3.93070986,3.93921789,45388917
2021-06-16,3.92220183,3.97325001,3.92220183,3.94772592,27231409
