date,open,high,low,close,volume
2020-01-02,210.081015,210.2294166,204.95652225,205.165212,2159454
2020-01-03,213.3273,219.52770435,211.51401795,218.89236,4610905
2020-01-06,218.01586305,227.4718275,217.97876265,220.57579065,3534207
2020-01-07,221.5543137,227.36516385,219.81987,227.1379239,2162443
2020-01-08,224.5965465,227.703705,222.6487755,226.47475425,1372558
2020-01-09,227.23995,228.6033897,224.0400405,226.497942,1748284
2020-01-10,227.610954,231.9146004,225.9043356,230.02248,2242714
2020-01-13,228.9558435,231.8682249,227.9355825,229.0300443,1745281
2020-01-14,228.16746,228.62657745,217.03734,217.1764665,3896822
2020-01-15,217.85818635,227.69906745,217.3619685,225.7095585,2286118
2020-01-16,226.31244,228.16746,221.67952755,226.54895505,1551885
2020-01-17,227.703705,233.2502148,226.126938,228.631215,2118064
2020-01-20,231.6177972,238.833825,229.7998776,237.95732805,1988065
2020-01-21,237.44256,243.93513,234.8084316,237.3034335,1904955
2020-01-22,237.9526905,241.5514293,233.454267,239.761335,1791850
2020-01-23,241.13868735,242.543865,228.65440275,230.94999,2307824
2020-02-03,209.61726,221.65170225,207.854991,207.854991,4186384
2020-02-04,211.15228905,219.81987,209.7656616,218.428605,3430183
2020-02-05,218.8459845,219.6807435,212.58065445,216.36489525,3824157
2020-02-06,216.9909645,226.0620123,214.3939365,221.67489,3620728
2020-02-07,221.211135,224.0678658,215.9707035,219.12887505,2585048
2020-02-10,218.71149555,218.71149555,212.8078944,216.68952375,2546771
2020-02-11,217.03270245,225.663183,215.8686774,224.37858165,2918121
2020-02-12,223.52991,224.9582754,219.81987,224.2255425,2234769
2020-02-13,222.72761385,223.0568799,215.738826,217.6402215,2941101
2020-02-14,217.872099,218.1410769,212.40442755,214.46349975,3189150
2020-02-17,213.78641745,215.28898365,210.5911455,214.9226172,3890577
2020-02-18,215.08493145,218.42396745,212.19110025,215.80838925,3220155
2020-02-19,215.646075,220.74738,211.47228,218.9758359,3672294
2020-02-20,220.52014005,228.8630925,218.02513815,227.5274781,4214526
2020-02-21,225.5055063,228.7425162,224.086416,226.776195,2680423
2020-02-24,224.364669,225.83477235,217.58920845,219.15670035,3806478
2020-02-25,215.646075,221.77227855,214.98290535,219.1613379,3024018
2020-02-26,215.8779525,220.4969523,214.6721895,218.89236,2656742
2020-02-27,220.283625,228.352962,217.96948755,224.5965465,3101875
2020-02-28,223.5577353,235.58754,222.138645,224.45742,4557048
2020-03-02,225.848685,230.3378334,217.1671914,225.38493,3617599
2020-03-03,227.9726829,238.833825,225.89042295,238.462821,4287445
2020-03-04,238.3236945,238.34688225,234.2426505,237.8692146,2165100
2020-03-05,236.51505,247.8770475,235.49015145,246.7640355,3341780
2020-03-06,246.24926745,252.468222,243.471375,244.86264,2186683
2020-03-09,240.73985805,244.83945225,234.98929605,237.02054295,2835972
2020-03-10,236.47331205,240.7537707,231.3117189,238.53238425,2398563
2020-03-11,237.906315,242.543865,236.5521504,238.36543245,1648496
2020-03-12,235.5411645,235.5411645,224.45742,225.84404745,3046006
2020-03-13,213.3365751,227.23995,211.8340089,224.4203196,2536807
2020-03-16,224.45742,226.590693,209.3853825,210.081015,2741076
2020-03-17,212.4368904,217.9091994,206.0370714,213.42468855,3404626
2020-03-18,216.10983,221.953143,211.52329305,211.936035,2670978
2020-03-19,210.1273905,217.03734,201.5015475,207.44224905,3614235
2020-03-20,211.008525,219.88943325,207.5303625,214.718565,2596113
