date,open,high,low,close,volume
2020-01-02,5.21320968,5.45930532,5.12782956,5.4241488,66350931
2020-01-03,5.3488134,5.38396992,5.25841092,5.26845564,41351705
2020-01-06,5.24334384,5.38396992,5.1981426,5.23832148,38464827
2020-01-07,5.25841092,5.46432768,5.25841092,5.3739252,38530668
2020-01-08,5.35383576,5.62002084,5.2985898,5.50952892,51745516
2020-01-09,5.51957364,5.650155,5.47939476,5.51455128,35043075
2020-01-10,5.4994842,5.73553512,5.47939476,5.6752668,44976592
2020-01-13,5.73051276,5.9766084,5.71544568,5.9766084,44294336
2020-01-14,6.026832,6.04692144,5.46432768,5.60997612,82356452
2020-01-15,5.6250432,5.71042332,5.4994842,5.64011028,45206870
2020-01-16,5.6250432,5.67024444,5.524596,5.63006556,27474968
2020-01-17,5.58988668,5.64011028,5.39401464,5.4743724,55746208
2020-01-20,5.56477488,5.5999314,5.3739252,5.47939476,36437497
2020-01-21,5.4743724,5.48441712,5.16800844,5.21823204,55839729
2020-01-22,5.1981426,5.3237016,5.12782956,5.25841092,39668739
2020-01-23,5.19312024,5.2483662,4.90182336,4.96209168,44864757
2020-02-03,4.46487804,4.46487804,4.46487804,4.46487804,9914200
2020-02-04,4.16353644,4.63061592,4.16353644,4.61052648,71339171
2020-02-05,4.61052648,4.73608548,4.4699004,4.51007928,45517973
2020-02-06,4.4699004,4.5954594,4.42972152,4.52514636,37493224
2020-02-07,4.47994512,4.57536996,4.47994512,4.53016872,27513985
2020-02-10,4.51510164,4.75115256,4.4950122,4.7210184,41346711
2020-02-11,4.72604076,4.94200224,4.65070536,4.83151032,37080036
2020-02-12,4.78128672,4.8465774,4.7210184,4.8214656,24547347
2020-02-13,4.81644324,4.9972482,4.81644324,4.91689044,39546418
2020-02-14,4.90182336,4.90182336,4.74110784,4.81644324,31151004
2020-02-17,4.9972482,5.2985898,4.9972482,5.2985898,64929884
2020-02-18,5.31365688,5.4492606,5.19312024,5.39401464,57028089
2020-02-19,5.3739252,5.55975252,5.33374632,5.3488134,44912914
2020-02-20,5.3488134,5.56979724,5.32872396,5.45428296,31823595
2020-02-21,5.58988668,5.76064692,5.52961836,5.68531152,50258134
